### Starting production?!

# bio1 PE   N=53  Avg= $94.39 min=11.49 max=342.57
# bio1 SEPE N=4   Avg= $82.82 min=30.45 max=135.08
# bio1      N=57  Avg= $93.58 min=11.49 max=343.57
# bio2 PE   N=47  Avg=$184.81 min=44.16 max=364.20
# bio2 SEPE N=15  Avg=$140.52 min=68.49 max=219.63
# bio2      N=62  Avg=$174.10 min=44.16 max=364.20
# all       N=119 Avg=$135.53 min=11.49 max=364.20

# TODO: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR066WZJ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d20h39m   $63.15
ENCSR083STA  E3 hg19  1_1.2,2_1.2 2016-09-14  2016-09-16  2016-10-06  2d17h23m   $92.45  # Success, First SE test
ENCSR087QUG  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d03h28m   $38.85
ENCSR097BWW  E3 hg19  1_1.2,2     2016-09-14  2016-09-22  2016-10-06  5d07h58m  $180.94
ENCSR121ZSL  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  4d01h43m  $138.18
ENCSR127PWK  E3 hg19  1_1.2       2016-09-14  2016-09-22  2016-10-06  3d23h32m  $135.08
ENCSR137EEM  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d04h36m   $40.44
ENCSR148VUP  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d17h25m  $228.25
ENCSR149XIL  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  3d22h17m  $133.31
ENCSR158VAT  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d03h34m  $174.72
ENCSR171ETY  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d05h46m  $143.89
ENCSR174TIP  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d15h35m  $157.78
ENCSR191FOV  E3 hg19  1           2016-08-30  2016-09-07  2016-10-05  3d20h17m  $130.49
ENCSR207TUX  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h06m   $25.58
ENCSR215FCQ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d02h01m   $36.79
ENCSR217SET  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d12h18m  $187.07  # Success, Restarted 2016-09-16: oom error/rev step
ENCSR228IKB  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d00h16m  $204.00
ENCSR229PFU  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    13h59m   $19.77
ENCSR237WJY  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  5d08h56m  $182.30
ENCSR240TPI  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  1d10h35m   $48.91
ENCSR265TEK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-06  2d17h15m   $92.26
ENCSR269SIA  E3 hg19  1_1.2,2     2016-09-14  2016-09-22  2016-10-06  4d16h09m  $158.59
ENCSR274JIR  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    12h40m   $17.91
ENCSR314EZY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d02h31m  $207.19
ENCSR318PRQ  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  3d14h53m  $122.84
ENCSR346IHH  E3 hg19  1_1.2,2_1.2 2016-09-14  2016-09-22  2016-10-06  3d00h04m  $101.90
ENCSR346JWH  E3 hg19  1,2         2016-09-14  2016-09-22  2016-10-06  4d19h10m  $162.85
ENCSR364MFN  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d06h40m  $246.98
ENCSR373BIX  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d05h25m  $211.26
ENCSR382JUJ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d06h06m  $144.37
ENCSR405TXU  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  1d18h16m   $59.77
ENCSR420NOA  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d03h46m  $175.00  # Success, Restarted 2016-09-16: oom error
ENCSR423UEH  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    17h17m   $24.44
ENCSR426IEA  E3 hg19  1,2_1.2     2016-08-30  2016-09-22  2016-10-06  2d14h03m   $87.75
ENCSR429RHR  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d16h48m  $261.30
ENCSR435NHO  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  8d19h32m  $299.10
